user_id,item_id,rating,timestamp
709,665,3,879848272
179,691,3,892151331
265,1016,3,875320462
389,514,5,879991329
886,81,4,876032531
38,838,2,892433680
503,205,4,880472344
144,405,4,888104419
886,941,2,876032072
303,287,4,879485203
757,248,4,888444209
327,678,3,887743705
6,536,4,883599400
158,79,4,880134332
308,425,4,887737997
277,302,4,879544201
565,170,5,891037291
483,271,3,881273325
177,475,4,880130898
262,174,3,879791948
585,463,5,891284816
883,208,4,891694340
435,2,4,884132619
589,322,3,883352631
409,180,5,881107155
305,175,4,886322893
362,323,2,885019651
145,1023,1,885557545
654,845,4,887863613
354,724,2,891307114
303,583,1,879483901
56,94,4,892910292
559,216,5,891035876
506,802,4,885135954
429,581,2,882385684
69,236,4,882072827
234,863,5,892079689
42,125,4,881105462
627,1267,4,879530346
306,19,5,876503995
314,64,5,877888346
49,208,4,888068715
183,449,2,891463592
527,631,4,879456030
94,281,3,891722576
13,435,5,882141392
577,407,4,880471271
177,195,4,880130699
293,193,3,888905990
82,483,5,878769888
746,168,3,885075790
85,449,4,882813248
455,318,3,879111528
682,420,3,888523115
15,9,4,879455635
899,414,2,884122228
90,98,5,891383204
870,188,5,875050672
347,471,4,881652518
798,560,3,875638972
575,506,2,878148087
87,1187,2,879875893
373,290,5,877098784
87,1180,3,879877127
647,742,4,876534275
882,473,3,879862936
708,278,4,877325956
18,419,3,880131878
89,736,3,879460027
256,771,2,882164999
303,286,5,879465986
303,559,4,879467670
582,300,3,882960446
504,462,4,887838740
622,380,4,882592850
405,1166,1,885546025
488,1,3,891294896
699,880,3,893140941
168,274,4,884287865
46,305,5,883614766
92,702,3,875656054
156,515,3,888185735
36,310,4,882157327
138,209,4,879023948
251,742,5,886272486
625,144,4,891962917
201,1011,3,884140853
334,175,4,891546257
506,198,2,874873703
533,449,4,879191713
479,248,4,879460192
936,1368,5,886832337
130,282,5,875801750
49,182,3,888069416
298,91,2,884182932
44,31,4,878348998
788,519,4,880868235
617,174,1,883788820
537,72,1,886031966
932,521,5,891249994
279,487,3,890282182
222,1078,2,878183449
69,117,4,882072748
7,683,4,891350703
405,513,1,885546112
298,294,3,884184024
887,946,4,881381348
654,381,3,887864886
840,588,4,891205321
500,469,4,883874813
399,1393,3,882340421
786,161,4,882843534
416,578,4,886318546
449,748,2,879959273
334,257,4,891544764
543,509,3,874863734
276,1213,1,874791407
940,317,4,885921577
143,682,3,888407741
244,135,4,880606442
544,331,3,884795516
933,164,2,874854461
896,86,1,887159926
321,730,3,879439179
789,284,3,880332259
922,739,3,891448516
144,1012,4,888104521
346,415,2,875265527
363,523,3,891494659
311,229,5,884365890
642,1146,1,886570084
543,211,4,877547441
106,660,4,881451631
26,864,2,891383899
102,391,2,888802767
915,333,3,891031450
889,428,4,880179536
537,100,4,886029692
457,176,5,882397542
320,121,5,884748733
642,1095,2,885606271
536,190,5,882359431
293,572,2,888907931
339,449,3,891036316
711,451,5,879994749
741,651,4,891018507
151,505,5,879528909
308,17,4,887739056
299,305,3,879737314
774,650,1,888556893
41,474,5,890687066
374,233,3,880937876
311,134,5,884364502
815,182,3,878693424
659,448,4,891385438
101,597,3,877136928
461,302,3,885355646
883,387,5,891696750
325,1,2,891478665
201,53,3,884114713
505,988,3,888631371
5,90,3,875636297
870,10,4,879376967
7,421,3,891352134
883,989,5,891692168
938,290,3,891356679
279,594,1,891209021
661,181,5,876015607
749,182,3,878848639
